TID: [-1234] [2021-05-06 07:55:16,560] []  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Value Target=admin Data={"Claim Value":["8af99377-be6d-4747-b02f-6abe39fac575"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [-1234] [2021-05-06 07:57:19,184] [571f003e-5224-4675-9126-3d70808d1240]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-Roles-of-User Target=admin Data={"Filter":"*","Roles":["Internal/admin","Application/Console","Internal/everyone","Application/My Account","admin"]} Outcome=Success
TID: [-1234] [2021-05-06 07:57:19,211] [571f003e-5224-4675-9126-3d70808d1240]  INFO {AUDIT_LOG} - 'admin@carbon.super [-1234]' logged in at [2021-05-06 07:57:19,207+0000]
TID: [-1234] [2021-05-06 07:57:34,120] [00233f9a-3232-4de3-aa15-4094c352f283]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : create | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 07:57:34,530] [b04e64bc-f19d-4863-af13-fc1ef8e9b981]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-Roles-of-User Target=admin Data={"Filter":"*","Roles":["Internal/admin","Application/Console","Internal/everyone","Application/My Account","Application/Angularkokeilu","admin"]} Outcome=Success
TID: [-1234] [2021-05-06 07:58:20,323] [cf6aca08-91eb-40af-9c2a-0f7893171f7b]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:11:51,273] [9946a9c2-720b-4b1d-826e-5bd1b50d1388]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-Roles-of-User Target=admin Data={"Filter":"*","Roles":["Internal/admin","Application/Console","Internal/everyone","Application/My Account","Application/Angularkokeilu","admin"]} Outcome=Success
TID: [-1234] [2021-05-06 08:21:20,267] [3ff43fd2-3e00-492b-9587-1ea98173bf32]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-Roles-of-User Target=admin Data={"Filter":"*","Roles":["Internal/admin","Application/Console","Internal/everyone","Application/My Account","Application/Angularkokeilu","admin"]} Outcome=Success
TID: [-1234] [2021-05-06 08:21:21,781] [17db8772-5b37-4a6e-9452-5f18a422b6d0]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:23:48,874] [d4d69185-9e7f-471d-a1c6-0816e2acda82]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:32:10,493] [260e662b-908e-43bb-8df4-d7c4b12e7222]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:32:10,790] [64db5b4c-4cc6-425d-bc2c-694fbac5e284]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-Roles-of-User Target=admin Data={"Filter":"*","Roles":["Internal/admin","Application/Console","Internal/everyone","Application/My Account","Application/Angularkokeilu","admin"]} Outcome=Success
TID: [-1234] [2021-05-06 08:35:40,919] [6b7cdd5f-5fcc-43a8-a60e-7d0a387cc7d2]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:35:43,780] [2eb5a2a4-bdd1-40c8-a4fd-704e8e69616f]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:38:09,901] [6eefbb80-fc75-4578-93f6-027c30437745]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:38:10,147] [d35f88ed-f845-4222-b40c-6621645f1bd5]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-Roles-of-User Target=admin Data={"Filter":"*","Roles":["Internal/admin","Application/Console","Internal/everyone","Application/My Account","Application/Angularkokeilu","admin"]} Outcome=Success
TID: [-1234] [2021-05-06 08:39:11,729] [a6e7583c-afae-43a2-be25-90f3e7de34e3]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:44:37,313] [df1bbe52-547a-4746-adf9-d1a5dc61b444]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-Roles-of-User Target=admin Data={"Filter":"*","Roles":["Internal/admin","Application/Console","Internal/everyone","Application/My Account","Application/Angularkokeilu","admin"]} Outcome=Success
TID: [-1234] [2021-05-06 08:45:06,256] [e2e0df9a-f92a-4b37-a675-648d40ee1818]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:45:44,246] [db3336d2-6df3-4947-bb35-bb18e1ffee81]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
TID: [-1234] [2021-05-06 08:46:27,135] [d7fdfca3-2931-48bf-8fe3-9916a260d405]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 3 | Data : { Angularkokeilu } | Result : Success 
